Datetime,news_cnt_5m,news_cnt_15m,news_cnt_60m,sent_sum_pos_5m,sent_sum_neg_5m,sent_net_5m,sent_sum_pos_15m,sent_sum_neg_15m,sent_net_15m,sent_sum_pos_60m,sent_sum_neg_60m,sent_net_60m,sent_ewm_60m
2025-11-07 14:36:00+00:00,3.0,4.0,6.0,0.9482199922204018,0.10183045547455541,0.1692779073491692,0.9605986559763555,1.0714574782177806,-0.007390588149428364,1.739383700303733,2.2227445421740413,-0.0080560140311718,0.010550286986645419
2025-11-07 14:37:00+00:00,3.0,5.0,7.0,0.9028262849897145,0.13260724022984502,0.15404380895197392,0.9907447835430506,1.116718108765781,-0.008398221681515371,1.7695298278704281,2.2680051727220416,-0.008307922414193553,0.010255501731426338
2025-11-07 14:38:00+00:00,3.0,6.0,8.0,0.4744118824601173,1.086939387023449,-0.12250550091266632,0.9995881775394085,2.0911866379901767,-0.0727732306967179,1.778373221866786,3.2424737019464374,-0.024401674667994182,-0.0009534434026930325
2025-11-07 14:39:00+00:00,3.0,6.0,8.0,0.4744118824601173,1.086939387023449,-0.12250550091266632,0.9995881775394085,2.0911866379901767,-0.0727732306967179,1.778373221866786,3.2424737019464374,-0.024401674667994182,-0.0009424921711750346
2025-11-07 14:40:00+00:00,2.0,6.0,8.0,0.0389895215630531,1.019729159772396,-0.19614792764186859,0.9995881775394085,2.0911866379901767,-0.0727732306967179,1.778373221866786,3.2424737019464374,-0.024401674667994182,-0.0009316667252793632
2025-11-07 14:41:00+00:00,2.0,6.0,8.0,0.0389895215630531,1.019729159772396,-0.19614792764186859,0.9995881775394085,2.0911866379901767,-0.0727732306967179,1.778373221866786,3.2424737019464374,-0.024401674667994182,-0.0009209656202349204
2025-11-07 14:42:00+00:00,2.0,7.0,9.0,0.1024817172437906,1.4786149263381958,-0.275226641818881,1.0932265007868414,2.5953330351039767,-0.10014043562114237,1.8720115451142187,3.7466200990602374,-0.031243475899100304,-0.00562547480926621
2025-11-07 14:43:00+00:00,1.0,6.0,9.0,0.0936383232474327,0.5041463971138002,-0.08210161477327346,1.080847837030888,1.6257060123607516,-0.03632387835532425,1.8720115451142187,3.7466200990602374,-0.031243475899100304,-0.005560860720101681
2025-11-07 14:44:00+00:00,2.0,7.0,10.0,0.4061044380068779,0.5157158588990569,-0.0219222841784358,1.3933139517903332,1.6372754741460085,-0.016264101490378373,2.184477659873664,3.7581895608454943,-0.02622853168286383,-0.0020408959551069506
2025-11-07 14:45:00+00:00,2.0,7.0,10.0,0.4061044380068779,0.5157158588990569,-0.0219222841784358,1.3933139517903332,1.6372754741460085,-0.016264101490378373,2.184477659873664,3.7581895608454943,-0.02622853168286383,-0.0020174542657047352
2025-11-07 14:46:00+00:00,3.0,8.0,11.0,0.4203952401876449,1.4821673845872283,-0.21235442887991668,1.4076047539711,2.60372699983418,-0.07974148305753867,2.198768462054431,4.724641086533666,-0.04209787707465391,-0.012930780518047816
